"Nom de la breloque";"Rang";"Description";"Ensemble lié";"Tag";"Bonus conditionnel minimum";"incrément";"Bonus conditionnel maximum";"Type d'input";"Bonus par défaut"
"Agilité du Kong";"Unique";"Une fois par tour, le porteur esquive une attaque au corps à corps en reculant.";"Ensemble du Kong de Monte-Cristaux";"Breloque boss + Soin - Protection";;;;;
"Arsenal de Guerre";"Unique";"Au début de chacun de ses tours, le porteur gagne 50 de puissance par allié sur le terrain pour le tour en cours.";"Ensemble de Guerre";"Breloque boss + Dégâts";"50 puissance";"50 puissance";"1000 puissance";"bouton accumulateur";"50 puissance"
"Breloque d'empathie croissante";"Expert";"Le porteur gagne 10 Soins (infini) tous les 2 tours. Cumul maximum : 3.";"Ensemble de l'Altruiste";"Soin - Protection";0;"10 soins";"30 soins";"range";0
"Breloque d'empathie croissante";"Maître ?";"Le porteur gagne 10 Soins (infini) tous les 2 tours. Cumul maximum : 5.";"Ensemble de l'Altruiste";"Soin - Protection";0;"10 soins";"50 soins";"range";0
"Breloque d'empathie croissante";"Maître ?";"Le porteur gagne 10 Soins (infini) chaque tour. Cumul maximum . 3.";"Ensemble de l'Altruiste";"Soin - Protection";"10 soins";"10 soins";"30 soins";"range";"10 soins"
"Breloque d'empathie croissante";"Novice";"Le porteur gagne 10 Soins (infini) tous les 3 tours. Cumul maximum · 3.";"Ensemble de l'Altruiste";"Soin - Protection";0;"10 soins";"30 soins";"range";0
"Breloque d'Entrée fracassante";"Expert";"Donne 2 PA pour les deux premiers tours.";;"Bonus PA/PO";0;2;"2 PA";"toggle";"2 PA"
"Breloque d'Entrée fracassante";"Maître ?";"Donne 3 PA pour les deux premiers tours.";;"Bonus PA/PO";0;3;"3 PA";"toggle";"3 PA"
"Breloque d'Entrée fracassante";"Maître ?";"Donne 2 PA pour les trois premiers tours.";;"Bonus PA/PO";0;2;"2 PA";"toggle";"2 PA"
"Breloque d'Entrée fracassante";"Novice";"Donne 2 PA pour le premier tour.";;"Bonus PA/PO";0;2;"2 PA";"toggle";"2 PA"
