Nom du sort,Classe,Élément principal,Description,Coût en PA,Portée min,Portée max,Portée modifiable,Ligne de vue requise,Zone d’effet,Lancers par tour,Lancers par combat,Lancers par cible,Portée en diagonale / ligne,Intervalle de relance (CD),Interval de relance initial,Durée de l’effet,Cumul des effets,Dégâts de base,Type de dégâts,Effet du sort,Condition d’activation,Dégâts critique,Effet du sort (Critique),Chance de critique,État appliqué,Icône / visuel du sort,
Assaut Magique,All,Meilleur élément,-,3,1,5,Non,Oui,Monocible,2,,-,-,-,-,-,-,19 à 23,Meilleur élément,-,-,24 à 28,-,15%,-,-,
Absorption Magique,All,Meilleur élément,-,4,1,1,Non,Oui,Monocible,1,,-,-,-,-,-,-,29 à 33,Meilleur élément,-,-,34 à 38 ,-,20%,-,-,
Botte - Novice,Roublard,-,-,2,0,6,Oui,Oui,Croix de 3 cases,1,,-,Ligne,-,-,2 Tours,2,-,-,20 Dommages,-,-,-,-,-,-,
Aimantation - Novice,Roublard,-,-,1,0,5,Oui,Oui,Croix de 5 cases,3,,2,-,-,-,-,-,-,-,Attire de 1 case(s),-,-,-,-,-,-,
Rémission - Novice,Roublard,-,-,2,0,5,Oui,Oui,Monocible,1,,-,-,4,-,3 Tours,-,-,-,Dommages Subis x80% / Refoulage - Novice,Dégâts subis au CAC,-,-,-,Refoulage - Novice,-,
Vulnérabilité - Novice,Pandawa,-,-,1,1,6,Non,Oui,Monocible,1,,1,Ligne,-,-,-,-,-,-,-,-,-,-,-,-,-,
Picole - Novice,Pandawa,-,-,1,0,0,Non,Non,Monocible,2,,2,-,-,-,-,-,-,-,État Saoul (Infini) / Enlève l'état Saoul / Augmente dommages finaux 10% / Ajoute +2 PA,État Saoul / Sans État,-,-,-,-,-,
Stabilisation - Novice,Pandawa,-,-,2,0,5,Oui,Non,Monocible,1,,1,Ligne,2,-,1 Tour,-,-,-,État Enraciné (1 tour) / 40 Esquive PM (1 tour),-,-,-,-,-,-,
Téléportation - Novice,Xelor,-,-,2,1,5,Non,Oui,Monocible,1,,-,-,2,-,-,-,-,-,-,État interdit : Pesanteur,-,-,-,-,-,
Gelure - Novice,Xelor,-,-,2,1,8,Oui,Oui,Monocible,3,,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Fuite - Novice,Xelor,-,-,2,0,0,Non,Non,Monocible,2,,-,-,-,-,-,-,-,-,-,"État interdit : Enraciné,Pesanteur,Indéplaçable",-,-,-,-,-,
Déplacement Félin - Novice,Osamodas,-,-,2,0,6,Non,Oui,Monocible,1,,-,-,1,-,2 Tours,1,-,-,4PM (Invoc) / 2 PM (Allié) / 1PM (Lanceur),-,-,-,-,-,-,
